Publisher,Date,UPC,UPCextra,VariantName,Variant frequency,Series,Story,Issue,Condition,Paid,Purchased,Value,Valuation date,Writer,Illustrator
Marvel,2016-09-14,759606084937,411,None,,Star Wars: The Force Awakens,Star Wars: The Force Awakens,4,9.8,2.8,2016-09-14,2.8,2016-09-14,Wendig,Ross
Marvel,2016-09-14,759606084937,421,Sketch,,Star Wars: The Force Awakens,Star Wars: The Force Awakens,4,9.8,7,2019-07,15,2019-07,Wendig,Ross
Marvel,2016-10-12,759606084937,511,None,,Star Wars: The Force Awakens,Star Wars: The Force Awakens,5,9.8,2.8,2016-10-12,2.8,2016-10-12,Wendig,Ross
Marvel,2016-11-09,759606084937,611,None,,Star Wars: The Force Awakens,Star Wars: The Force Awakens,6,9.8,2.8,2016-11-09,2.8,2016-11-09,Wendig,Ross
Marvel,2016-12-07,,122,Sketch cover,,Star Wars: Doctor Aphra,Aphra,1,9.8,5,2016-12-07,50,2019-11-24,,
Marvel,2016-12-28,75960608113,2621,sketch cover,,Star Wars,Yoda’s Secret War (5 part),26,9.8,10,2019-07,24,2019-09-22,Aaron,Larroca
Marvel,2016-12-28,75960608113,2711,None,,Star Wars,Yoda’s Secret War (5 part),27,9.8,2.8,2016-12-28,2.8,2016-12-28,Aaron,Larroca
Marvel,2017-01-25,75960608113,2811,None,,Star Wars,Yoda’s Secret War (5 part),28,9.8,2.8,2017-01-25,2.8,2017-01-25,Aaron,Larroca
Marvel,2017-02-01,,,Halloween ComicFest,,Star Wars: Darth Maul,,1,9.8,2.8,2017-02-01,10,2019-11-24,,
Marvel,2017-02-01,75960608113,2911,None,,Star Wars,Yoda’s Secret War (5 part),29,9.8,2.8,2017-02-01,2.8,2017-02-01,Aaron,Larroca
Marvel,2017-03-01,75960608113,3011,None,,Star Wars,Yoda’s Secret War (5 part),30,9.8,2.8,2017-03-01,2.8,2017-03-01,Aaron,Larroca
Marvel,2017-05-31,,721,40th Anniversary,,Star Wars: Doctor Aphra,The Screaming Citadel,7,9.8,2.8,2017-05-31,2.8,2017-05-31,,
Marvel,2017-04-05,75960608113,3111,None,,Star Wars,Yoda’s Secret War (5 part),31,9.8,2.8,2017-04-05,2.8,2017-04-05,Aaron,Larroca
Marvel,2017-06-07,75960608666,121,Cover B,,Star Wars,Darth Vader: Dark Lord of the Sith,1,9.8,3,2019-09-01,16,2019-11-24,Soule,Smith
Marvel,2019-12-04,,111,True Believers #1,,Star Wars,Out Among The Stars (6 part),35,9.8,1,2019-12-04,1,2019-12-04,,
Marvel,2017-09-13,,3621,40th Anniversary,,Star Wars,Out Among The Stars (6 part),36,9.8,2.8,2017-09-13,4,2017-09-13,,
IDW,2018-08-29,,,None,,Star Wars Adventures,,13,,1.5,2019-08-01,,,,
IDW,2018-09-26,,,None,,Star Wars Adventures,Chewie’s Day Off,14,,1.5,2019-08-01,,,,
IDW,2018-12-19,,,None,,Star Wars Adventures,All Aces Battle Royale,16,,1.5,2019-08-01,,,,
IDW,2019-01-30,,,None,,Star Wars Adventures,Sector 7-E,17,,1.5,2019-08-01,,,,
IDW,2019-01-30,,,None,,Star Wars Adventures,Sector 7-E,17,,3.5,2019-08-01,,,,
IDW,2019-03-27,,,None,,Star Wars Adventures,,19,,3.5,2019-08-01,,,,
IDW,2019-07-03,,,None,,Star Wars Adventures,,23,,3.5,2019-08-01,,,,
IDW,2019-05-01,,,None,,Star Wars Adventures,,One-shot,,3.5,2019-08-01,,,,
Marvel,2018-11-14,759606086290,2611,None,,Star Wars: Doctor Aphra,Worst Among Equals (6 part),26,9.8,2.8,2018-11-14,2.8,2018-11-14,Spurrier,Laiso
Marvel,2018-12-05,759606091997,111,None,,Star Wars: Age of Republic,Age of Republic (9 part),Qui-Gon Jinn 1,9.8,2.8,2018-12-05,2.8,2019-06-14,Houser,Smith
Marvel,2018-12-12,759606086290,2711,None,,Star Wars: Doctor Aphra,Worst Among Equals (6 part),27,9.8,2.8,2018-12-12,2.8,2018-12-12,Spurrier,Laiso
Marvel,2018-12-12,759606086290,2721,Cover B,,Star Wars: Doctor Aphra,Worst Among Equals (6 part),27,9.8,2.8,2018-12-12,4.4,2018-12-12,Spurrier,Laiso
Marvel,2018-12-12,759606091942,111,None,,Star Wars: Age of Republic,Age of Republic (9 part),Darth Maul 1,9.8,2.8,2018-12-12,2.8,2019-06-14,Houser,Ross
Marvel,2019-01-02,759606091973,111,None,,Star Wars: Age of Republic,Age of Republic (9 part),Obi-Wan Kenobi 1,9.8,2.8,2019-01-02,2.8,2019-06-14,Houser,Santos; Smith
Marvel,2019-01-09,759606091966,111,None,,Star Wars: Age of Republic,Age of Republic (9 part),Jango Fett 1,9.8,2.8,2019-01-09,2.8,2019-06-14,Houser,Ross
Marvel,2019-01-16,759606092000,111,None,,Star Wars: Age of Republic,Age of Republic (9 part),Age of Republic Special 1,9.8,3.5,2019-01-16,3.5,2019-06-14,Sacks; Houser; Guggenheim,Villanelli; Gomez; Wijingaard
Marvel,2019-01-30,759606086290,2811,None,,Star Wars: Doctor Aphra,Worst Among Equals (6 part),28,9.8,2.8,2019-01-30,2.8,2019-01-30,Spurrier,Laiso
Marvel,2019-02-06,759606091928,111,None,,Star Wars: Age of Republic,Age of Republic (9 part),Anakin Skywalker 1,9.8,2.8,2019-02-06,2.8,2019-06-14,Houser,Santos;Smith
Marvel,2019-02-27,759606086290,2911,None,,Star Wars: Doctor Aphra,Worst Among Equals (6 part),29,9.8,2.8,2019-02-27,2.8,2019-02-27,Spurrier,Laiso
Marvel,2019-03-06,75960608113,6211,None,,Star Wars,The Scourging of Shu-Torun (6 part),62,9.8,2.8,2019-03-06,2.8,2019-03-06,Gillen,Broccardo
Marvel,2019-03-06,759606091980,111,None,,Star Wars: Age of Republic,Age of Republic (9 part),Padme Amidala 1,9.8,2.8,2019-03-06,2.8,2019-06-14,Houser,Santos; Smith
Marvel,2019-03-06,759606091843,111,None,,Star Wars: Vader – Dark Visions,Dark Visions (5 part),1,9.8,3.5,2019-03-06,3.5,2019-06-14,Hopeless,Villanelli
Marvel,2019-03-13,759606091935,111,None,,Star Wars: Age of Republic,Age of Republic (9 part),Count Dooku 1,9.8,2.8,2019-03-13,2.8,2019-06-14,Houser,Ross
Marvel,2019-03-13,759606091959,111,None,,Star Wars: Age of Republic,Age of Republic (9 part),General Grievous,9.8,2.8,2019-03-13,2.8,2019-06-14,Houser,Ross
